著者名	NDL肖像ID	NDLA	NDL正規化名	JPS	青空	近代肖像URL	NDLサムネイル
芥川龍之介	224	00001509	芥川, 竜之介, 1892-1927		https://www.aozora.gr.jp/index_pages/person879.html	https://www.ndl.go.jp/portrait/datas/224.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/568-133/s0149_t.png
有島武郎	228	00003269	有島, 武郎, 1878-1923		https://www.aozora.gr.jp/index_pages/person25.html	https://www.ndl.go.jp/portrait/datas/228.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/782-160/s0148_t.png
泉鏡花	230	00024402	泉, 鏡花, 1873-1939		https://www.aozora.gr.jp/index_pages/person50.html	https://www.ndl.go.jp/portrait/datas/230.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/555-4/s0156_t.png
尾崎紅葉	249	00064081	尾崎, 紅葉, 1867-1903		https://www.aozora.gr.jp/index_pages/person91.html	https://www.ndl.go.jp/portrait/datas/249.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/9136-O976o/s0158_t.png
国木田独歩	262	00037399	国木田, 独歩, 1871-1908		https://www.aozora.gr.jp/index_pages/person38.html	https://www.ndl.go.jp/portrait/datas/262.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/709-141/s0210_t.png
黒岩涙香	264	00038263	黒岩, 涙香, 1862-1920		https://www.aozora.gr.jp/index_pages/person179.html	https://www.ndl.go.jp/portrait/datas/264.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/582-198/s0184_t.png
佐佐木信綱	272	00067453	佐佐木, 信綱, 1872-1963		https://www.aozora.gr.jp/index_pages/person1691.html	https://www.ndl.go.jp/portrait/datas/272.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/2106-To591b/s0212_t.png
志賀直哉	273	00070621	志賀, 直哉, 1883-1971			https://www.ndl.go.jp/portrait/datas/273.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/555-4/s0147_t.png
島崎藤村	276	00071373	島崎, 藤村, 1872-1943		https://www.aozora.gr.jp/index_pages/person158.html	https://www.ndl.go.jp/portrait/datas/276.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/568-315/s0205_t.png
末松謙澄	556	00073853	末松, 謙澄, 1855-1920		https://www.aozora.gr.jp/index_pages/person266.html	https://www.ndl.go.jp/portrait/datas/556.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/070_28-O775n/s0209t.png
高崎正風	119	00078971	高崎, 正風, 1836-1912			https://www.ndl.go.jp/portrait/datas/119.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/427-53/002/0025_t.png
高山樗牛	285	00079368	高山, 樗牛, 1871-1902		https://www.aozora.gr.jp/index_pages/person271.html	https://www.ndl.go.jp/portrait/datas/285.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/9186-G34iu/s0159_t.png
坪内逍遥	293	00086044	坪内, 逍遥, 1859-1935		https://www.aozora.gr.jp/index_pages/person141.html	https://www.ndl.go.jp/portrait/datas/293.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/281038-Ko53u/s0155_t.png
遠山稲子	144	00481359	遠山, 稲子, 1874-1912			https://www.ndl.go.jp/portrait/datas/144.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/419-34/0023_t.png
徳冨蘆花	297	00084823	徳富, 蘆花, 1868-1927		https://www.aozora.gr.jp/index_pages/person280.html	https://www.ndl.go.jp/portrait/datas/297.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/91028-To454It/s0180_t.png
永田秀次郎	496	00050336	永田, 秀次郎, 1876-1943			https://www.ndl.go.jp/portrait/datas/496.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/609-183/s0149t.png
中村秋香	153	00051439	中村, 秋香, 1841-1910		https://www.aozora.gr.jp/index_pages/person703.html	https://www.ndl.go.jp/portrait/datas/153.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/419-34/0052_t.png
夏目漱石	307	00054222	夏目, 漱石, 1867-1916		https://www.aozora.gr.jp/index_pages/person148.html	https://www.ndl.go.jp/portrait/datas/307.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/536-439/s0196_t.png
成島柳北	308	00054123	成島, 柳北, 1837-1884		https://www.aozora.gr.jp/index_pages/person712.html	https://www.ndl.go.jp/portrait/datas/308.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/554-9/s0216_t.png
服部誠一	167	00009109	服部, 誠一, 1842-1908		https://www.aozora.gr.jp/index_pages/person732.html	https://www.ndl.go.jp/portrait/datas/167.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/419-34/0013_t.png
樋口一葉	315	00010313	樋口, 一葉, 1872-1896		https://www.aozora.gr.jp/index_pages/person64.html	https://www.ndl.go.jp/portrait/datas/315.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/9186-G34u/s0146_t.png
福地源一郎	319	00014376	福地, 源一郎, 1841-1906		https://www.aozora.gr.jp/index_pages/person2111.html	https://www.ndl.go.jp/portrait/datas/319.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/07028-O775n/s0015_t.png
二葉亭四迷	322	00015092	二葉亭, 四迷, 1864-1909		https://www.aozora.gr.jp/index_pages/person6.html	https://www.ndl.go.jp/portrait/datas/322.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/2106-To591b2-t/s0153_t.png
正岡子規	329	00040417	正岡, 子規, 1867-1902		https://www.aozora.gr.jp/index_pages/person305.html	https://www.ndl.go.jp/portrait/datas/329.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/91026F63u/s0150_t.png
正宗白鳥	330	00040407	正宗, 白鳥, 1879-1962		https://www.aozora.gr.jp/index_pages/person1581.html	https://www.ndl.go.jp/portrait/datas/330.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/520-36/s0213_t.png
武者小路実篤	340	00049354	武者小路, 実篤, 1885-1976			https://www.ndl.go.jp/portrait/datas/340.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/91156-M989m/s0206_t.png
森鷗外	342	00046801	森, 鴎外, 1862-1922		https://www.aozora.gr.jp/index_pages/person129.html	https://www.ndl.go.jp/portrait/datas/342.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/91028-Mo453u/s0203_t.png
与謝野晶子	347	00096690	与謝野, 晶子, 1878-1942		https://www.aozora.gr.jp/index_pages/person885.html	https://www.ndl.go.jp/portrait/datas/347.html	https://www.ndl.go.jp/portrait/130_130_thumbnails/911168-Y774y2/s0209_t.png
